name,category,commitment,serving,calories,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,fiber,sugar,protein,ratio_fat,ratio_carb,ratio_protein
organic grass-fed beef,protein,1,112,180,10.7,4.5,73,75,0,0,0,22,52,0,48
organic grass-fed ground beef,protein,1,84,160,7,3,70,55,0,0,0,22,42,0,58
grass-fed lamb,protein,1,85,180,13,7,45,45,0,0,0,15,46,0,54
pastured egg,protein,1,50,70,5,1,140,70,0,0,0,6,64,0,34
whey protein concentrate,protein,1,30,110,0,0,5,55,2,0,0,25,0,7,93
anchovie,protein,1,85,111,4,1,51,88,0,0,0,17,33,0,67
haddock,protein,1,112,145,4.2,0.782,75,456,0.54,0,0,25,27,2,71
patrale sole,protein,1,28,26,0.34,0.08,14,23,0,0,0,5,12,0,88
sardine,protein,1,56,73,2,1,48,194,0,0,0,13,26,0,74
sockeye salmon,protein,1,112,190,8,1.2,72,68,0,0,0,24,43,0,57
summer flounder,protein,1,112,100,1.5,0,55,95,0,0,0,21,14,0,86
tilapia,protein,1,112,27,0.48,0.162,14,15,0,0,0,5.7,16,0,84
trout,protein,1,84,101,2.94,0.614,50,26,0,0,0,17.4,26,0,74
pastured pork,protein,2,112,190,10,3.5,75,60,0,0,0,23,15,0,85
pastured chicken,protein,2,112,190,10,3,70,70,0,0,0,23,15,0,85
pastured turkey,protein,2,112,170,9,2.5,85,75,0,0,0,21,14,0,86
pastured duck,protein,2,112,140,4.8,1.5,88,64,0,0,0,22.5,31,0,69
whey protein isolate,protein,2,35,130,0,0,5,85,2,1,1,30,0,6,94
grass-fed butter,fat,1,14,100,12,8,30,0,0,0,0,0,100,0,0
grass-fed ghee,fat,1,14,120,14,9,35,0,0,0,0,0,100,0,0
pastured egg-yolk,fat,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grass-fed meat fat,fat,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cod liver oil,fat,1,28,256,28.35,6.409,162,0,0,0,0,0,100,0,0
krill oil,fat,1,0,0,0,0,0,0,0,0,0,0,0,0,0
coconut oil,fat,1,14,130,14,13,0,0,0,0,0,0,100,0,0
mct oil,fat,1,14,128,14.2,14.2,0,0,0,0,0,0,100,0,0
